# Metadata
# tracker: mediapipe_tracker
# num_cameras: 2
# num_landmarks: 33

frame,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_shoulder,right_shoulder,left_hip,right_hip,left_elbow,left_wrist,right_elbow,right_wrist,left_knee,left_ankle,right_knee,right_ankle
77,47.64886042184864,135.07984097960144,176.57333619798115,158.0801552627326,114.89451848545589,178.96961464392365,104.25507064813878,21.57975705408168,,101.40330178821397,101.53233637144668,166.44927848657645,173.39113194887818,,177.71367926373952,154.9357632356063,146.2432779275411,171.1932968507683,149.08578620397782
78,45.61749558982685,131.52962122762497,178.33113000446235,152.47907670893179,118.27003999260387,179.18638075178174,115.05665424475639,22.091383119370388,,101.96411741342958,103.1625510125204,164.76703179976263,171.74789207433173,,177.91491561397274,148.226307701726,150.27767029820512,169.11148095533022,152.20130632014968
79,44.40649784231955,131.59198859437095,178.5908118980136,152.53412430017946,117.13173976273586,174.33007500640073,112.7692854181556,21.388576875565242,,101.99803098785326,104.6208907988679,164.78460188105186,169.71440999339208,,177.01618918810567,140.60944797225997,153.64046192150715,168.4162082921456,155.031881947995
80,44.709599624737066,130.17534719629583,177.05547551274717,150.021999584957,118.99758594014054,178.0548769964315,110.71471308407001,21.06750529656181,,101.58119605880388,103.24564249041077,166.39570582400916,169.85433140321192,,178.01469437092098,139.56914544471138,152.92895904504863,169.90368551816675,157.65967423670816
81,45.77302831283108,129.83260085385461,179.34407564882343,148.51946097029224,119.32459337289927,179.10688892014159,111.89922149890224,22.451276978004792,,102.21364068383946,104.13171189769378,164.70492692603426,169.65561877919853,,177.12507323957362,143.286457514705,153.76982607360932,169.57288481205273,159.5884126188401
82,45.67189651437292,129.79371170370058,173.6347578540532,149.8658499174119,119.06281007476557,177.56968053635575,113.59918659310742,23.17413886041485,,102.64835991041174,103.51629366156389,162.24506640274646,166.93727643600275,,175.87618056869474,147.51589088237463,151.52536244676733,169.9358157725389,157.4912841402795
83,44.61988117567754,129.76138417518723,172.73714771498908,150.99323984666222,117.04034133053484,176.54663576121413,111.39827304381345,23.112581877668134,,102.5235653419837,102.3066803721692,162.61489748868857,167.88252289866722,,176.42420783384415,151.89328712082624,125.7767628021442,169.97187591051988,155.33105326067928
84,42.345128832024855,129.80461498951976,176.75970207408545,150.01853206639947,116.36499792661101,179.66194275407338,104.06867690117218,82.63329658553506,83.93295373385025,100.86917264938297,92.56456111075148,163.37791391904588,167.9420100585653,169.8149246376703,176.21081831817253,155.88423460831578,124.39232238150899,169.66393347951575,159.73341729342988
85,45.822615501684396,131.19493928100323,175.5620848306301,148.43295657700727,114.88529957270306,179.61937983537203,92.59504619985462,82.73595320914696,84.29314413666833,99.24636732810427,93.72450763331275,163.1878066649449,166.538580279893,168.26898780883198,177.24821663313395,160.26086943282274,153.46578317507792,170.31965303778094,159.24865635261713
86,45.51384789704786,134.90977974229875,171.48752810027588,154.09902306379973,111.06363889042434,176.50597896199517,90.06117262729384,83.40197813737909,85.02073993955732,98.90903825797064,92.65687803286444,161.6320903411241,168.20927246723087,170.57561041228846,177.96302395270675,164.56587651432707,156.343924051542,170.40535239711784,158.99080310149438
87,40.888075280948364,132.45263315885956,173.41605686036456,154.9897077599965,111.6160004071121,178.2508703406322,98.27993877598118,83.78893949766386,85.30569470514249,99.03624491567666,91.8106032799352,164.33463959829723,171.68326152449214,168.04223912836628,178.24871121139236,168.41177759789613,153.9485063673673,168.25032384166914,159.37573358420985
88,39.99332031259689,128.90425225052775,175.30314848133332,156.46177188992039,111.02747449844463,179.660912749253,103.25113795965295,83.16287646662013,85.89222572301568,99.07254211120103,91.79216798327816,163.90503912117683,169.41762095429306,171.13498090218468,177.90147288031017,172.3936229441227,155.3791363910674,167.36715018229683,155.48267350693317
89,43.221732581939044,129.0608737494431,171.17157310210055,153.72031319050834,111.6376933253622,178.5113327117898,103.67301264979913,82.9240978878937,85.96681413534206,98.8453884046607,92.14638824615996,162.9911405620382,164.96912555087405,171.8384857032742,177.06748267886158,175.66901499194648,155.07610754952208,169.69849011417784,151.2241513226524
90,43.80137565836774,129.11309741991457,174.13081670741948,152.54597772564333,113.4485965157785,176.48741557483163,101.25155321811552,83.08053208165445,86.02254193049517,98.82539012476619,91.88429583958371,163.23411928081262,170.0518936698859,169.57232932047114,177.06329882494154,177.71923206939323,,170.80521449755807,149.5635368968796
91,43.65753556501954,128.64996282407887,176.27632696536992,150.59644069745977,116.40195565756177,178.469622586264,105.09103040608859,82.81253547166527,85.6183446111652,98.24060682962121,93.15043594546908,163.65186792157863,172.04226195812763,168.77842522133724,177.39611223405262,178.46205729662302,158.8505237612026,170.42229384528358,148.09365233651909
92,44.069198670201644,127.43567995592889,172.78086957013164,151.82837765727317,116.61740282474798,178.0688464980583,105.77279079059885,82.31796434878954,86.01166039161023,98.33410767103972,93.18468106342348,165.81369878893264,172.73329562905255,168.40672230389666,176.90228650221485,178.17480445860534,,170.2482160022915,147.212823441365
93,44.25044623743466,126.24220317329105,173.502712814447,150.3730151951989,116.67625495635426,177.057899297523,108.80070552775742,82.02686535516189,86.00125468035897,97.68120510512486,94.21624831660871,167.83427805495052,173.1162080685558,168.45468383221598,177.95251739120093,177.21506117737945,,169.87141619621994,146.9000852621327
94,45.53167700072041,124.87856408294017,173.58565841129317,150.48250055104012,118.2451775299468,175.9648906312979,111.71953600893914,82.4187392768294,84.9813307740851,97.60241328232023,94.95217474906188,169.92444134902613,171.81424878242166,170.036581483004,178.4290365366905,177.50750202042408,156.92684928626272,169.4814071496043,146.6730425243148
95,46.28880068071946,125.15092055666356,174.20641350497638,152.24416355843505,116.46251977234671,176.45692704343747,111.15548385016336,82.7801211736296,84.03300797151965,97.39626044133504,95.75926878167941,169.6973510089117,171.49312737562875,169.6320395214785,177.4933669932824,179.0329552430054,157.9844588967604,168.3532854073812,145.46063915029856
96,45.56688252891177,125.75221154631839,173.6694852212448,153.44954999585758,114.59550790810881,176.22338222950486,111.04005113715617,83.11452557240148,83.712682625416,97.64846115782251,95.50842133595947,170.12291753323353,171.76211299962992,169.17396096875217,173.16353327412685,179.48091047480685,159.69632128541838,167.3600857647687,144.3354260777557
97,45.490911165076035,125.10243678423956,175.9781706591513,153.47894419549934,115.26351236080322,176.9791145618578,110.67141834245153,82.55214601120825,83.82571511439708,98.44598771179504,95.16592851448922,169.26785182022545,170.95373120081192,169.41796526720498,172.31196878333296,179.24322608824627,160.1454855020225,166.85787916443036,145.12024026803164
98,45.66080332137176,127.31679534776538,177.23891408068616,154.45660459455354,114.77288493702105,178.16898577953896,106.13027025216515,82.55077303303754,83.9902652125475,98.87256407292182,94.58125118080335,169.1491515410999,172.16291769266255,168.46290663063905,172.87591899198227,179.6008155233134,160.10032220626832,166.67912164849645,143.67703245426938
99,45.085585302487665,128.9421620573414,178.46969022002187,152.91172746791747,115.2810036937979,177.80960987572695,105.8937786106127,82.848969201552,84.02527576904845,98.89015993493624,94.23108666109407,167.75422623843284,171.932504300011,168.35397716753351,173.48476917897815,179.1432437870338,159.7690712708684,166.58644879318496,144.98850080733214
100,44.03626183958188,128.1906856547067,178.79799932321467,153.02810978035723,115.71628585264989,176.37795682574054,109.0436288296428,82.69560373028196,84.17949731218968,99.18489979510895,93.93544342435733,166.9186004807746,170.50773273990814,167.23037157149713,175.05263088014368,179.09934013456018,159.5330266336854,167.04984714612698,144.12896702801
101,45.09955439854174,128.02819938457424,177.80068747980036,154.97555705719688,116.03128479795006,174.93716983048193,110.28604857860473,82.52083175713534,83.7089241902968,99.50551672528258,94.25724307306773,166.27907124763405,169.5178826750881,166.93380734327965,175.08345493763446,178.76646423645337,159.73604605860717,166.869959368104,144.21449006301043
102,45.16546594788269,127.32796780823766,175.68042074748342,155.53007796965395,115.67409805139428,174.02743648157147,110.54823379005579,82.4709370659083,83.48151035086214,99.50526856159041,94.53072277664236,166.4964130593509,169.32345921413855,166.47794753184314,176.22286610421918,178.67362502283183,158.64894986807366,168.16702551649206,146.1996934052402
103,46.113772795212924,127.809641624377,176.61071650717977,155.10646063701387,115.70546125329739,173.9838170806433,109.27560907820015,82.58246183672804,83.47347437618448,99.34086398178404,94.58976187622976,166.4248311753589,169.4780806911505,166.70188210476405,175.87890415147453,178.7684365291147,157.5542768786216,169.097601139712,145.80951466566378
104,46.644180744511715,128.14694301485918,179.0361410453244,152.34391952138722,116.62254663340974,175.64007714751367,108.40226999085856,82.55089674863626,83.52486831856217,99.3223998112548,94.58576295212698,166.38267792534225,170.81398583549176,167.0688248708933,176.9000494899351,178.01052940163794,157.77040432149036,169.5680721381313,145.84963193431196
105,45.85887274841409,129.15247096022188,175.92951531919724,151.1598495971397,117.08684785154908,176.83900464906222,108.9872138985997,81.91328292586336,83.60758834379565,100.2852876891564,94.17217917827116,164.6830752623864,171.62163607024576,165.90500415202445,177.57465552989865,177.2987452796103,157.4292891600798,170.52941145883696,145.06574315702917
106,45.20090580651351,130.48650130563414,174.60975018999594,154.2004837625523,117.89961283002977,177.0689828481759,108.88714307159202,81.13765089930685,83.98665065929883,101.22798065503588,93.60333440904606,163.64600393092573,169.5847396138769,166.93094567307915,174.28159818249594,177.5378558339925,157.45175201912514,171.5995657898297,146.55314094495387
107,45.77972468971468,131.43037789364075,177.19697220673382,156.7236756856023,117.81153098134342,177.1075520340589,106.75641608257905,80.70216138407606,84.2230873083432,101.72110103259386,93.25038492599498,163.1694781633098,170.1206294145136,166.39027239490522,174.72809082600514,176.84746491276528,156.01701125320034,172.3686732221815,147.48718170453697
108,47.94674500487222,131.6642608473607,178.01096907944986,157.62562072507023,118.17618232872788,176.8959899094464,102.76588695873222,80.87117705058161,84.316062527945,101.94661320875052,92.71600472508588,162.55300485967518,170.45582710553145,165.75408395630288,176.18485232669786,176.58429608560607,155.36928939169283,173.56367758959186,149.13365724198758
109,48.24592436881177,131.73547873249962,175.29011682113787,156.69120599076882,118.33487643544103,176.3847912481468,103.52104304962616,80.81472250585968,84.42644688860956,102.13065132601017,92.46764720686927,162.63089610383136,171.30191601937943,165.71803161921991,177.90474984158706,176.1049580978569,153.1064589211339,174.44840535079788,149.99742100630834
110,48.70242650568252,131.1716172537999,172.5178963131162,155.97265979058005,119.15800711711229,176.9934725218613,103.7865642416751,80.96963721217007,84.36686844861288,101.97456263397851,92.54382929969155,163.58448020829076,173.3014938145751,163.95856825147783,177.50997105851846,175.96935342938892,153.18854107318208,174.08074460523147,149.28263444810324
111,48.24641681939941,131.2950214357018,172.52810421919887,155.74312455912352,119.75541452546297,176.910386112716,105.26805055811215,81.11873376690906,84.39097948246499,101.94080240137284,92.43717729245799,165.282410913696,176.2062761951335,,,176.23402704674282,155.09565221001793,173.74668547249289,148.41730145709815
